,00,0,2,4,6,8,10,12,14,16,18,20,22,,,,36,38,40,42,44,46,48,50,,,
neck,13,11.5,12.5,13,13,14,14.5,15,14.5,,17,,17.5,,,neck,,,,,,,,18.75,,,
shoulder,3.5,4,3.75,4.25,4.25,4,4.25,4,4.75,,4.75,,4.25,,,shoulder,,,,,,,,6.75,,,
front length,13.25,13.75,13.75,,,,,15.25,,,15.5,,15.75,,,front length,,,,,,,,16.5,,,
cross front,11.75,10.75,12.25,12.25,12.25,13,13,13.25,13.5,,15.5,,15.25,,,cross front,,,,,,,,17.75,,,
figure length,7.75,7.25,7.5,7.5,7.75,7.75,7.75,8,8.25,,9.5,,10.75,,,figure length,,,,,,,,9,,,
figure breadth,6.5,6.24,6.75,7,6.75,7,7.5,7.25,7.5,,8.25,,10,,,figure breadth,,,,,,,,9.75,,,
back length,15.75,15.75,16,16.25,16.25,16.25,16.5,17,17.5,,17.25,,17,,,back length,,,,,,,,18.5,,,
cross back,12.75,12.75,12,13.5,13.25,14,14.75,14.75,14.5,,16,,16,,,cross back,,,,,,,,19.25,3.75 depth,,
bust,30.75,32,,32.25,34.5,35.75,36.25,38.5,39.5,,44,,49,,,bust,,,,,,,,25.25 front,10.25 depth,26 back,51
underbust,26.25,26.5,,28.5,29.25,31.25,31.25,34,34.25,,39.25,,44.25,,,underbust,,,,,,,,49,,,
waist,24,,,23,25,26.5,26.25,29,30,,34.5,,42,,,waist,,,,,,,,45.75,,,46
high hip,31,31.5,32,32.5,33.5,33.75,34.25,37.5,38.5,,42,,51.25,,,high hip,,,,,,,,51.5,,,
low hip,33,33,34,34.5,35,36.25,36.25,39,40,,44.5,,50.75,,,low hip,,,,,,,,52.5,,,53.25
side,8,8.5,8.25,8.75,,9,8.75,9.5,9.5,,8,,8.5,,,side,,,,,,,,53,"8 depth front, 8.25 depth back",,
armhole,15,15.25,14.25,14.25,,14.75,14.25,15.75,16.5,,20.5,,18.5,,,armhole,,,,,,,,,,,
,,,,,,,,,,,,,"front depth 6, 24.75",,,,,,,,,,,,,,
,,,,,,,,,,,,,"back butt 26.5, depth 6",,,,,,,,,,,,,,
,,,,,,,,,,,,,"belly depth 4, 25",,,,,,,,,,,,,,
,,,,,,,,,,,,,"back 4, 25.25",,,,,,,,,,,,,,
